PID,Lot_Area,House_Style,Overall_Qual,Overall_Cond,Year_Built,Heating_QC,Central_Air,Gr_Liv_Area,Bedroom_AbvGr,Fireplaces,Garage_Area,Mo_Sold,Yr_Sold,SalePrice,Basement_Area,Full_Bathroom,Half_Bathroom,Total_Bathroom,Deck_Porch_Area,Age_Sold,Season_Sold,Garage_Type_2,Foundation_2,Masonry_Veneer,Lot_Shape_2,House_Style2,Overall_Qual2,Overall_Cond2,Log_Price,Bonus
0526350040,11622,1Story,5,6,1961,TA,Y,896,2,0,730,6,2010,105000,882,1,0,1,260,49,3,Attached,Cinder Block,N,Regular,1Story,5,6,11.561715629,0
0526351010,14267,1Story,6,6,1958,TA,Y,1329,3,0,312,6,2010,172000,1329,1,1,1.1,429,52,3,Attached,Cinder Block,Y,Irregular,1Story,6,6,12.055249756,0
0527127150,4920,1Story,8,5,2001,Ex,Y,1338,2,0,582,4,2010,213500,1338,3,0,3,0,9,2,Attached,Concrete/Slab,N,Regular,1Story,6,5,12.271392112,1
0527145080,5005,1Story,8,5,1992,Ex,Y,1280,2,0,506,1,2010,191500,1280,2,0,2,226,18,1,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.162643088,1
0527165230,7980,1Story,6,7,1992,Ex,Y,1187,3,0,420,3,2010,185000,1168,3,0,3,504,18,2,Attached,Concrete/Slab,N,Irregular,1Story,6,6,12.128111104,1
0527166040,8402,2Story,6,5,1998,Gd,Y,1465,3,1,393,5,2010,180400,789,2,1,2.1,75,12,2,Attached,Concrete/Slab,N,Irregular,2Story,6,5,12.102931887,1
0527180040,10176,1Story,7,5,1990,Gd,Y,1341,2,1,506,2,2010,171500,1300,2,1,2.1,192,20,1,Attached,Concrete/Slab,N,Regular,1Story,6,5,12.052338546,0
0527276150,19138,1Story,4,5,1951,Ex,Y,864,2,0,400,6,2010,141000,864,1,0,1,0,59,3,Detached,Cinder Block,N,Regular,1Story,4,5,11.856515169,0
0527402200,11241,1Story,6,7,1970,Ex,Y,1004,2,1,480,3,2010,149000,1004,2,0,2,0,40,2,Attached,Cinder Block,Y,Irregular,1Story,6,6,11.911701585,0
0527402250,12537,1Story,5,6,1971,Ex,Y,1078,3,1,500,4,2010,149900,1078,2,1,2.1,0,39,2,Attached,Cinder Block,N,Irregular,1Story,5,6,11.917723684,0
0527403020,8450,1Story,5,6,1968,Ex,Y,1056,3,1,304,7,2010,142000,1056,2,0,2,85,42,3,Attached,Cinder Block,N,Regular,1Story,5,6,11.863582337,0
0527404120,8400,1Story,4,5,1970,TA,Y,882,2,0,525,4,2010,126000,882,2,0,2,240,40,2,Attached,Cinder Block,N,Regular,1Story,4,5,11.744037186,0
0527425090,10500,1Story,4,5,1971,TA,Y,864,3,1,0,4,2010,115000,864,1,0,1,0,39,2,NA,Cinder Block,N,Regular,1Story,4,5,11.652687407,0
